Objekt,X,Y,Razdalja_mm,Čas
orange_cone,603,423,0,00:39:49.009498
blue_cone,615,318,0,00:39:49.009741
orange_cone,602,422,0,00:39:49.037675
blue_cone,615,318,0,00:39:49.037918
orange_cone,602,421,0,00:39:49.063259
blue_cone,616,318,0,00:39:49.063521
orange_cone,602,421,0,00:39:49.091764
blue_cone,616,318,0,00:39:49.092026
orange_cone,602,421,0,00:39:49.121617
orange_cone,603,421,0,00:39:49.151443
orange_cone,603,422,0,00:39:49.183166
orange_cone,603,421,0,00:39:49.216409
orange_cone,603,421,0,00:39:49.244922
orange_cone,605,421,0,00:39:49.272229
orange_cone,606,421,0,00:39:49.298985
orange_cone,606,420,0,00:39:49.325825
blue_cone,616,317,0,00:39:49.326107
orange_cone,547,693,0,00:39:49.326338
orange_cone,606,420,0,00:39:49.359797
blue_cone,616,317,0,00:39:49.360044
orange_cone,547,693,0,00:39:49.360273
orange_cone,607,420,0,00:39:49.394589
blue_cone,616,317,0,00:39:49.394844
orange_cone,608,420,0,00:39:49.428136
orange_cone,608,420,0,00:39:49.461598
orange_cone,549,692,0,00:39:49.461868
orange_cone,608,420,0,00:39:49.496559
orange_cone,549,689,0,00:39:49.496857
orange_cone,609,420,0,00:39:49.530253
orange_cone,609,420,0,00:39:49.562396
orange_cone,550,689,0,00:39:49.562674
orange_cone,608,419,0,00:39:49.597515
orange_cone,550,689,0,00:39:49.597801
orange_cone,609,419,0,00:39:49.627425
orange_cone,551,688,0,00:39:49.627654
orange_cone,609,419,0,00:39:49.654726
orange_cone,551,688,0,00:39:49.654967
orange_cone,609,418,0,00:39:49.682484
orange_cone,551,688,0,00:39:49.682767
orange_cone,668,691,0,00:39:49.683190
orange_cone,608,419,0,00:39:49.719683
orange_cone,552,688,0,00:39:49.719965
orange_cone,669,692,0,00:39:49.720208
orange_cone,608,418,0,00:39:49.757045
orange_cone,552,688,0,00:39:49.757346
orange_cone,608,418,0,00:39:49.794993
orange_cone,552,687,0,00:39:49.795283
orange_cone,609,417,0,00:39:49.826205
orange_cone,553,687,0,00:39:49.826443
orange_cone,669,691,0,00:39:49.826640
orange_cone,609,417,0,00:39:49.854605
orange_cone,552,687,0,00:39:49.854834
orange_cone,669,690,0,00:39:49.855032
orange_cone,610,417,0,00:39:49.884000
orange_cone,553,687,0,00:39:49.884226
orange_cone,669,690,0,00:39:49.884416
orange_cone,610,416,0,00:39:49.912408
orange_cone,552,688,0,00:39:49.912645
orange_cone,669,690,0,00:39:49.912841
orange_cone,610,416,0,00:39:49.941217
orange_cone,553,688,0,00:39:49.941453
orange_cone,669,689,0,00:39:49.941661
orange_cone,611,416,0,00:39:49.971019
orange_cone,553,689,0,00:39:49.971292
orange_cone,669,689,0,00:39:49.971514
orange_cone,611,416,0,00:39:49.997120
orange_cone,553,689,0,00:39:49.997378
orange_cone,669,689,0,00:39:49.997592
orange_cone,611,416,0,00:39:50.023626
orange_cone,553,689,0,00:39:50.023876
orange_cone,669,689,0,00:39:50.024088
orange_cone,611,417,0,00:39:50.054125
orange_cone,553,690,0,00:39:50.054357
orange_cone,669,689,0,00:39:50.054556
orange_cone,611,416,0,00:39:50.082659
orange_cone,553,689,0,00:39:50.083148
orange_cone,669,689,0,00:39:50.083345
orange_cone,610,416,0,00:39:50.111838
orange_cone,553,689,0,00:39:50.112065
