Objekt,X,Y,Širina,Višina,Zaupanje,Čas
jabolka,966,395,107,237,0.65,12:17:38.909335
jabolka,772,640,108,154,0.66,12:17:39.101114
jabolka,964,398,103,231,0.60,12:17:39.101839
jabolka,772,640,108,155,0.68,12:17:39.296044
jabolka,964,395,110,223,0.30,12:17:39.296785
jabolka,973,391,102,197,0.72,12:17:39.534875
jabolka,772,640,108,155,0.69,12:17:39.535344
jabolka,984,377,117,204,0.85,12:17:39.737310
jabolka,772,640,109,155,0.66,12:17:39.737734
jabolka,772,640,108,155,0.67,12:17:39.895754
jabolka,973,389,102,177,0.63,12:17:39.896189
jabolka,772,640,108,155,0.70,12:17:40.127213
jabolka,985,374,121,197,0.64,12:17:40.127640
jabolka,772,640,108,154,0.65,12:17:40.371069
jabolka,971,383,102,183,0.46,12:17:40.371636
jabolka,772,640,109,154,0.69,12:17:40.592635
jabolka,972,382,108,190,0.51,12:17:40.593229
jabolka,963,388,102,174,0.79,12:17:40.817827
jabolka,772,640,108,154,0.67,12:17:40.818218
jabolka,958,385,108,187,0.83,12:17:41.028499
jabolka,772,640,108,155,0.69,12:17:41.028904
jabolka,772,640,109,154,0.63,12:17:41.244637
jabolka,929,322,93,125,0.39,12:17:41.245569
jabolka,772,640,108,154,0.70,12:17:41.455397
jabolka,715,401,79,168,0.40,12:17:41.455941
jabolka,678,517,40,173,0.25,12:17:41.456436
jabolka,772,640,108,154,0.67,12:17:41.686696
jabolka,771,640,109,154,0.74,12:17:41.900717
jabolka,473,629,96,179,0.28,12:17:41.901115
jabolka,663,526,73,176,0.26,12:17:41.901452
jabolka,771,640,109,154,0.71,12:17:42.105620
jabolka,771,640,109,154,0.73,12:17:42.334716
jabolka,331,563,172,214,0.30,12:17:42.335171
jabolka,771,640,109,154,0.74,12:17:42.556280
jabolka,548,134,117,263,0.40,12:17:42.557658
jabolka,771,640,109,154,0.74,12:17:42.769758
jabolka,70,133,99,255,0.44,12:17:42.770217
jabolka,772,640,108,154,0.72,12:17:42.962384
jabolka,83,126,166,243,0.31,12:17:42.962764
jabolka,771,640,107,154,0.74,12:17:43.106813
jabolka,771,640,108,153,0.72,12:17:43.345766
jabolka,771,640,108,154,0.71,12:17:43.552275
jabolka,771,640,109,154,0.72,12:17:43.711172
jabolka,559,200,118,187,0.43,12:17:43.711642
jabolka,541,232,135,258,0.26,12:17:43.712090
jabolka,771,641,109,154,0.73,12:17:43.935175
jabolka,79,129,81,244,0.69,12:17:43.935519
jabolka,771,640,109,153,0.76,12:17:44.162869
jabolka,78,120,154,224,0.44,12:17:44.163265
banana,419,649,126,141,0.27,12:17:44.163636
jabolka,555,148,93,260,0.26,12:17:44.164026
jabolka,772,640,110,154,0.77,12:17:44.378503
jabolka,771,640,109,153,0.73,12:17:44.555715
jabolka,771,640,109,154,0.74,12:17:44.749172
jabolka,645,174,84,231,0.58,12:17:44.749538
jabolka,672,175,95,231,0.73,12:17:44.969297
jabolka,771,640,109,154,0.73,12:17:44.969829
jabolka,667,523,61,166,0.38,12:17:44.970336
jabolka,704,182,94,233,0.78,12:17:45.210837
jabolka,772,640,108,154,0.62,12:17:45.211420
jabolka,772,640,108,155,0.60,12:17:45.419895
jabolka,727,147,78,178,0.54,12:17:45.420244
jabolka,724,179,83,238,0.52,12:17:45.420556
jabolka,381,316,142,310,0.31,12:17:45.420868
jabolka,370,112,118,218,0.26,12:17:45.421136
jabolka,772,641,108,154,0.60,12:17:45.649649
jabolka,730,134,63,159,0.38,12:17:45.650883
jabolka,772,641,109,156,0.63,12:17:45.844855
jabolka,776,640,97,160,0.37,12:17:46.082431
jabolka,814,153,149,307,0.55,12:17:46.857390
