Objekt,X,Y,Razdalja_mm,X3D,Y3D,Z3D,Čas
jabolka,949,364,527000,,,,11:10:56.165033
pomaranca,927,360,558000,,,,11:10:56.165381
jabolka,951,417,528000,,,,11:10:56.165685
pomaranca,940,363,526000,,,,11:10:56.215368
jabolka,948,421,521000,,,,11:10:56.215711
jabolka,949,373,525000,,,,11:10:56.216002
pomaranca,944,363,520000,,,,11:10:56.267817
jabolka,948,421,542000,,,,11:10:56.268221
jabolka,948,384,516000,,,,11:10:56.268548
pomaranca,937,363,524000,,,,11:10:56.317451
jabolka,945,422,532000,,,,11:10:56.317797
pomaranca,931,364,537000,,,,11:10:56.370174
jabolka,944,421,538000,,,,11:10:56.370538
jabolka,942,366,519000,,,,11:10:56.370836
pomaranca,931,364,534000,,,,11:10:56.426656
jabolka,941,365,524000,,,,11:10:56.427023
jabolka,944,421,533000,,,,11:10:56.427351
pomaranca,941,363,550000,,,,11:10:56.477919
jabolka,946,422,575000,,,,11:10:56.478254
jabolka,948,422,598000,,,,11:10:56.532648
pomaranca,943,363,583000,,,,11:10:56.533030
jabolka,948,387,582000,,,,11:10:56.533328
pomaranca,934,359,601000,,,,11:10:57.273484
jabolka,948,360,593000,,,,11:10:57.273855
pomaranca,933,359,576500,,,,11:10:57.322700
jabolka,947,361,558000,,,,11:10:57.323321
jabolka,953,368,526000,,,,11:10:57.372581
jabolka,956,416,533000,,,,11:10:57.373015
pomaranca,940,358,531000,,,,11:10:57.373328
jabolka,953,361,522000,,,,11:10:57.424383
pomaranca,930,359,568000,,,,11:10:57.424763
jabolka,954,359,511000,,,,11:10:57.472797
pomaranca,928,357,542000,,,,11:10:57.473159
jabolka,954,362,514000,,,,11:10:57.519471
pomaranca,929,358,534000,,,,11:10:57.519848
jabolka,947,360,526000,,,,11:10:57.568228
pomaranca,929,359,527000,,,,11:10:57.568617
pomaranca,930,359,524000,,,,11:10:57.618364
jabolka,945,359,521000,,,,11:10:57.618824
pomaranca,932,359,521000,,,,11:10:57.668589
jabolka,946,360,515000,,,,11:10:57.668958
pomaranca,933,358,544000,,,,11:10:57.719880
jabolka,944,359,515000,,,,11:10:57.720271
pomaranca,933,358,530000,,,,11:10:57.769002
jabolka,943,358,523000,,,,11:10:57.769337
pomaranca,932,358,525000,,,,11:10:57.816881
jabolka,943,359,516000,,,,11:10:57.817232
pomaranca,936,359,531000,,,,11:10:57.865312
jabolka,947,360,516000,,,,11:10:57.865669
jabolka,943,361,522000,,,,11:10:57.914990
pomaranca,928,360,534000,,,,11:10:57.915352
pomaranca,922,364,566000,,,,11:10:57.965565
jabolka,941,364,521000,,,,11:10:57.965939
jabolka,952,435,517000,,,,11:10:58.014472
jabolka,948,373,517000,,,,11:10:58.014806
jabolka,950,435,533000,,,,11:10:58.067003
jabolka,949,378,523000,,,,11:10:58.067425
jabolka,945,438,528500,,,,11:10:58.116891
jabolka,945,403,530000,,,,11:10:58.117230
jabolka,943,440,557000,,,,11:10:58.165693
pomaranca,917,375,589000,,,,11:10:58.212812
jabolka,952,431,598000,,,,11:10:58.980685
jabolka,946,374,589000,,,,11:10:58.981089
jabolka,955,436,547000,,,,11:10:59.029728
jabolka,947,374,542000,,,,11:10:59.030086
pomaranca,932,371,532000,,,,11:10:59.125713
jabolka,945,372,515000,,,,11:10:59.126058
pomaranca,931,367,531000,,,,11:10:59.172826
jabolka,941,366,513000,,,,11:10:59.173274
jabolka,938,364,512000,,,,11:10:59.224019
